entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
30 35 0 1 1969 1970 49174984.000000 49174984.000000 49174984.000000
35 40 0 1 1969 1970 45427888.000000 45427888.000000 45427888.000000
40 45 0 1 1969 1970 39029248.000000 39029248.000000 39029248.000000
45 50 0 1 1969 1970 34631736.000000 34631736.000000 34631736.000000
50 55 0 1 1969 1970 32323356.000000 32323356.000000 32323356.000000
55 60 0 1 1969 1970 26281808.000000 26281808.000000 26281808.000000
60 65 0 1 1969 1970 19775532.000000 19775532.000000 19775532.000000
65 70 0 1 1969 1970 14404995.000000 14404995.000000 14404995.000000
70 120 0 1 1969 1970 15421537.000000 15421537.000000 15421537.000000
0 5 0 1 1970 1971 134588096.000000 134588096.000000 134588096.000000
5 10 0 1 1970 1971 110133808.000000 110133808.000000 110133808.000000
10 15 0 1 1970 1971 88143408.000000 88143408.000000 88143408.000000
15 20 0 1 1970 1971 91856280.000000 91856280.000000 91856280.000000
20 25 0 1 1970 1971 66233700.000000 66233700.000000 66233700.000000
25 30 0 1 1970 1971 51747808.000000 51747808.000000 51747808.000000
30 35 0 1 1970 1971 49396176.000000 49396176.000000 49396176.000000
35 40 0 1 1970 1971 46331104.000000 46331104.000000 46331104.000000
40 45 0 1 1970 1971 40055508.000000 40055508.000000 40055508.000000
45 50 0 1 1970 1971 34930912.000000 34930912.000000 34930912.000000
50 55 0 1 1970 1971 32775648.000000 32775648.000000 32775648.000000
55 60 0 1 1970 1971 27177446.000000 27177446.000000 27177446.000000
60 65 0 1 1970 1971 20398962.000000 20398962.000000 20398962.000000
65 70 0 1 1970 1971 14950593.000000 14950593.000000 14950593.000000
70 120 0 1 1970 1971 16068998.000000 16068998.000000 16068998.000000
0 5 0 1 1971 1972 135897568.000000 135897568.000000 135897568.000000
5 10 0 1 1971 1972 115246000.000000 115246000.000000 115246000.000000
10 15 0 1 1971 1972 90037384.000000 90037384.000000 90037384.000000
15 20 0 1 1971 1972 92575816.000000 92575816.000000 92575816.000000
20 25 0 1 1971 1972 71208896.000000 71208896.000000 71208896.000000
25 30 0 1 1971 1972 53294712.000000 53294712.000000 53294712.000000
30 35 0 1 1971 1972 49442664.000000 49442664.000000 49442664.000000
35 40 0 1 1971 1972 47018216.000000 47018216.000000 47018216.000000
40 45 0 1 1971 1972 41095576.000000 41095576.000000 41095576.000000
45 50 0 1 1971 1972 35368372.000000 35368372.000000 35368372.000000
50 55 0 1 1971 1972 32949516.000000 32949516.000000 32949516.000000
55 60 0 1 1971 1972 27915008.000000 27915008.000000 27915008.000000
60 65 0 1 1971 1972 21025176.000000 21025176.000000 21025176.000000
65 70 0 1 1971 1972 15375068.000000 15375068.000000 15375068.000000
70 120 0 1 1971 1972 17031600.000000 17031600.000000 17031600.000000
0 5 0 1 1972 1973 135204096.000000 135204096.000000 135204096.000000
5 10 0 1 1972 1973 120276712.000000 120276712.000000 120276712.000000
10 15 0 1 1972 1973 93725664.000000 93725664.000000 93725664.000000
15 20 0 1 1972 1973 91229736.000000 91229736.000000 91229736.000000
20 25 0 1 1972 1973 77267960.000000 77267960.000000 77267960.000000
25 30 0 1 1972 1973 55335764.000000 55335764.000000 55335764.000000
30 35 0 1 1972 1973 49442144.000000 49442144.000000 49442144.000000
35 40 0 1 1972 1973 47631708.000000 47631708.000000 47631708.000000
40 45 0 1 1972 1973 42268380.000000 42268380.000000 42268380.000000
45 50 0 1 1972 1973 36059320.000000 36059320.000000 36059320.000000
50 55 0 1 1972 1973 32994664.000000 32994664.000000 32994664.000000
55 60 0 1 1972 1973 28707870.000000 28707870.000000 28707870.000000
60 65 0 1 1972 1973 21782668.000000 21782668.000000 21782668.000000
65 70 0 1 1972 1973 15750153.000000 15750153.000000 15750153.000000
70 120 0 1 1972 1973 18009684.000000 18009684.000000 18009684.000000
0 5 0 1 1973 1974 133100552.000000 133100552.000000 133100552.000000
5 10 0 1 1973 1974 124863792.000000 124863792.000000 124863792.000000
10 15 0 1 1973 1974 98670216.000000 98670216.000000 98670216.000000
15 20 0 1 1973 1974 88856272.000000 88856272.000000 88856272.000000
20 25 0 1 1973 1974 83446832.000000 83446832.000000 83446832.000000
25 30 0 1 1973 1974 57958684.000000 57958684.000000 57958684.000000
30 35 0 1 1973 1974 49549616.000000 49549616.000000 49549616.000000
35 40 0 1 1973 1974 48120684.000000 48120684.000000 48120684.000000
40 45 0 1 1973 1974 43459504.000000 43459504.000000 43459504.000000
45 50 0 1 1973 1974 36934852.000000 36934852.000000 36934852.000000
50 55 0 1 1973 1974 32996492.000000 32996492.000000 32996492.000000
55 60 0 1 1973 1974 29479216.000000 29479216.000000 29479216.000000
60 65 0 1 1973 1974 22620046.000000 22620046.000000 22620046.000000
65 70 0 1 1973 1974 16126746.000000 16126746.000000 16126746.000000
70 120 0 1 1973 1974 18962426.000000 18962426.000000 18962426.000000
0 5 0 1 1974 1975 129876920.000000 129876920.000000 129876920.000000
5 10 0 1 1974 1975 128652904.000000 128652904.000000 128652904.000000
10 15 0 1 1974 1975 104015032.000000 104015032.000000 104015032.000000
15 20 0 1 1974 1975 87253368.000000 87253368.000000 87253368.000000
20 25 0 1 1974 1975 88327232.000000 88327232.000000 88327232.000000
25 30 0 1 1974 1975 61342112.000000 61342112.000000 61342112.000000
30 35 0 1 1974 1975 50041884.000000 50041884.000000 50041884.000000
35 40 0 1 1974 1975 48461136.000000 48461136.000000 48461136.000000
40 45 0 1 1974 1975 44544132.000000 44544132.000000 44544132.000000
45 50 0 1 1974 1975 37920040.000000 37920040.000000 37920040.000000
50 55 0 1 1974 1975 33122804.000000 33122804.000000 33122804.000000
55 60 0 1 1974 1975 30136468.000000 30136468.000000 30136468.000000
60 65 0 1 1974 1975 23483176.000000 23483176.000000 23483176.000000
65 70 0 1 1974 1975 16588510.000000 16588510.000000 16588510.000000
70 120 0 1 1974 1975 19847828.000000 19847828.000000 19847828.000000
0 5 0 1 1975 1976 125805176.000000 125805176.000000 125805176.000000
5 10 0 1 1975 1976 131282216.000000 131282216.000000 131282216.000000
10 15 0 1 1975 1976 109173960.000000 109173960.000000 109173960.000000
15 20 0 1 1975 1976 87559064.000000 87559064.000000 87559064.000000
20 25 0 1 1975 1976 91099648.000000 91099648.000000 91099648.000000
25 30 0 1 1975 1976 65536112.000000 65536112.000000 65536112.000000
30 35 0 1 1975 1976 51109624.000000 51109624.000000 51109624.000000
35 40 0 1 1975 1976 48670492.000000 48670492.000000 48670492.000000
40 45 0 1 1975 1976 45451176.000000 45451176.000000 45451176.000000
45 50 0 1 1975 1976 38967232.000000 38967232.000000 38967232.000000
50 55 0 1 1975 1976 33480916.000000 33480916.000000 33480916.000000
55 60 0 1 1975 1976 30632736.000000 30632736.000000 30632736.000000
60 65 0 1 1975 1976 24342992.000000 24342992.000000 24342992.000000
65 70 0 1 1975 1976 17182036.000000 17182036.000000 17182036.000000
70 120 0 1 1975 1976 20651692.000000 20651692.000000 20651692.000000
0 5 0 1 1976 1977 119777384.000000 119777384.000000 119777384.000000
5 10 0 1 1976 1977 133009536.000000 133009536.000000 133009536.000000
10 15 0 1 1976 1977 114387040.000000 114387040.000000 114387040.000000
15 20 0 1 1976 1977 89607752.000000 89607752.000000 89607752.000000
20 25 0 1 1976 1977 92005896.000000 92005896.000000 92005896.000000
